Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 69291  Y -149606
X 48818  Y -105511
X 47244  Y -99212
X 51968  Y -79527
X 74803  Y -79527
X 63105  Y -34988
X 24015  Y -31889
X 59981  Y -27559
X 74015  Y -15748
X 74015  Y 787
X 62992  Y 17716
X 58472  Y 27370
X 37401  Y 37401
X 136220  Y 103937
X 184251  Y 96062
X 86614  Y -131496
X 185039  Y -135433
X 270078  Y -173228
X 280511  Y -145669
X 266732  Y -144685
X 252755  Y -129921
X 245669  Y -122834
X 242519  Y -119685
X 247244  Y -116535
X 239370  Y -113385
X 259055  Y 12598
X 262992  Y 12598
X 264992  Y 109791
X 273228  Y 133070
X 326147  Y 22492
X 326035  Y -13616
X 316150  Y -33070
X 316150  Y -94094
X 302362  Y -94094
X 329133  Y -109842
X 306299  Y -117322
X 308661  Y -122047
X 312598  Y -122834
X 303937  Y -132283
X 324803  Y -154527
X 302165  Y -186614
X 312007  Y -186614
X 292125  Y -186614
X 321850  Y -186811
X 334645  Y -186614
X 374015  Y -145669
X 374015  Y -123622
X 363385  Y -103149
X 363385  Y -97244
X 363385  Y -93307
X 331496  Y -93307
X 363385  Y -89370
X 331496  Y -88307
X 363385  Y -83464
X 356692  Y -77952
X 364566  Y -64566
X 368503  Y -61417
X 368503  Y -58267
X 363779  Y -55118
X 368503  Y -51968
X 368503  Y -48818
X 338643  Y -45610
X 348640  Y -45610
X 368503  Y -42519
X 363779  Y -39370
X 333644  Y -36238
X 351145  Y -36078
X 368503  Y -33070
X 351145  Y -32657
X 364566  Y -29921
X 368503  Y -26771
X 363779  Y -23622
X 368503  Y -20472
X 366141  Y -17322
X 370508  Y -14173
X 366141  Y -11023
X 368503  Y -1574
X 368503  Y 1574
X 368503  Y 4724
X 370078  Y 7874
X 366929  Y 11023
X 333644  Y 11871
X 368503  Y 23622
X 368503  Y 26771
X 368503  Y 29921
X 355188  Y 32657
X 368503  Y 36220
X 349889  Y 41861
X 368503  Y 42519
X 355188  Y 42610
X 368503  Y 51968
X 355188  Y 55051
X 368503  Y 55118
X 343016  Y 56232
X 368503  Y 58267
X 368503  Y 61417
X 394488  Y 133070
X 403937  Y 132283
X 388188  Y 87401
X 403937  Y 86614
X 394488  Y 86614
X 400787  Y 84251
X 381889  Y 82677
X 397637  Y 80314
X 391338  Y 79527
X 385039  Y 79527
X 400787  Y -80314
X 388188  Y -80314
X 394488  Y -80314
X 381889  Y -80314
X 403937  Y -83464
X 385039  Y -85826
X 391338  Y -85826
X 397637  Y -85826
X 406299  Y -117322
X 433858  Y -169291
