Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 166338  Y 92913
X 169291  Y 95472
X 163385  Y 95669
X 162598  Y 104330
X 187992  Y 110236
X 192913  Y 110236
X 274409  Y 400393
X 268503  Y 400393
X 265354  Y 400393
X 271653  Y 400393
X 274409  Y 397637
X 268503  Y 397637
X 265354  Y 397637
X 271653  Y 397637
X 265354  Y 394881
X 274409  Y 394881
X 268503  Y 394881
X 271653  Y 394881
X 271653  Y 332185
X 271653  Y 329232
X 451181  Y 91338
X 448031  Y 91338
X 444881  Y 91338
X 451181  Y 94488
X 444881  Y 94488
X 441732  Y 94488
X 448031  Y 94488
X 448031  Y 97637
X 441732  Y 97637
X 444881  Y 97637
X 451181  Y 97637
X 441732  Y 100787
X 448031  Y 100787
X 444881  Y 100787
X 451181  Y 100787
X 444881  Y 103937
X 451181  Y 103937
X 448031  Y 103937
X 441732  Y 103937
X 444881  Y 107086
X 448031  Y 107086
X 441732  Y 107086
X 451181  Y 107086
X 448031  Y 113385
X 444881  Y 113385
X 451181  Y 113385
X 444881  Y 116535
X 451181  Y 116535
X 448031  Y 116535
X 451181  Y 119685
X 448031  Y 119685
X 444881  Y 119685
X 451181  Y 122834
X 444881  Y 122834
X 448031  Y 122834
X 451181  Y 125984
X 448031  Y 125984
X 444881  Y 125984
X 441732  Y 125984
X 451181  Y 240944
X 448031  Y 240944
X 444881  Y 240944
X 451181  Y 244094
X 448031  Y 244094
X 444881  Y 244094
X 441732  Y 244094
X 444881  Y 247244
X 448031  Y 247244
X 441732  Y 247244
X 451181  Y 247244
X 448031  Y 250393
X 444881  Y 250393
X 441732  Y 250393
X 451181  Y 250393
X 441732  Y 253543
X 451181  Y 253543
X 444881  Y 253543
X 448031  Y 253543
X 448031  Y 256692
X 444881  Y 256692
X 451181  Y 256692
X 441732  Y 256692
X 448031  Y 262992
X 444881  Y 262992
X 451181  Y 262992
X 451181  Y 266141
X 448031  Y 266141
X 444881  Y 266141
X 444881  Y 269291
X 451181  Y 269291
X 448031  Y 269291
X 451181  Y 272440
X 448031  Y 272440
X 444881  Y 272440
X 448031  Y 275590
X 441732  Y 275590
X 444881  Y 275590
X 451181  Y 275590
X 451181  Y 390551
X 448031  Y 390551
X 444881  Y 390551
X 444881  Y 393700
X 451181  Y 393700
X 441732  Y 393700
X 448031  Y 393700
X 441732  Y 396850
X 448031  Y 396850
X 451181  Y 396850
X 444881  Y 396850
X 451181  Y 400000
X 448031  Y 400000
X 444881  Y 400000
X 441732  Y 400000
X 451181  Y 403149
X 444881  Y 403149
X 448031  Y 403149
X 441732  Y 403149
X 441732  Y 406299
X 448031  Y 406299
X 451181  Y 406299
X 444881  Y 406299
X 451181  Y 412598
X 448031  Y 412598
X 444881  Y 412598
X 444881  Y 415748
X 451181  Y 415748
X 448031  Y 415748
X 448031  Y 418897
X 444881  Y 418897
X 451181  Y 418897
X 448031  Y 422047
X 451181  Y 422047
X 444881  Y 422047
X 451181  Y 425196
X 448031  Y 425196
X 444881  Y 425196
X 441732  Y 425196
X 454330  Y 425196
X 457480  Y 425196
X 466929  Y 425196
X 476377  Y 425196
X 470078  Y 425196
X 473228  Y 425196
X 463779  Y 425196
X 454330  Y 422047
X 463779  Y 422047
X 466929  Y 422047
X 457480  Y 422047
X 470078  Y 422047
X 473228  Y 422047
X 476377  Y 422047
X 454330  Y 418897
X 466929  Y 418897
X 463779  Y 418897
X 457480  Y 418897
X 470078  Y 418897
X 473228  Y 418897
X 476377  Y 418897
X 454330  Y 415748
X 463779  Y 415748
X 457480  Y 415748
X 473228  Y 415748
X 476377  Y 415748
X 470078  Y 415748
X 466929  Y 415748
X 454330  Y 412598
X 463779  Y 412598
X 466929  Y 412598
X 457480  Y 412598
X 470078  Y 412598
X 476377  Y 412598
X 473228  Y 412598
X 454330  Y 406299
X 457480  Y 406299
X 466929  Y 406299
X 470078  Y 406299
X 473228  Y 406299
X 463779  Y 406299
X 476377  Y 406299
X 454330  Y 403149
X 457480  Y 403149
X 470078  Y 403149
X 473228  Y 403149
X 476377  Y 403149
X 466929  Y 403149
X 463779  Y 403149
X 454330  Y 400000
X 463779  Y 400000
X 466929  Y 400000
X 457480  Y 400000
X 470078  Y 400000
X 473228  Y 400000
X 476377  Y 400000
X 454330  Y 396850
X 457480  Y 396850
X 463779  Y 396850
X 466929  Y 396850
X 470078  Y 396850
X 473228  Y 396850
X 476377  Y 396850
X 454330  Y 393700
X 457480  Y 393700
X 470078  Y 393700
X 473228  Y 393700
X 476377  Y 393700
X 463779  Y 393700
X 466929  Y 393700
X 454330  Y 390551
X 466929  Y 390551
X 457480  Y 390551
X 470078  Y 390551
X 473228  Y 390551
X 476377  Y 390551
X 463779  Y 390551
X 454330  Y 275590
X 463779  Y 275590
X 466929  Y 275590
X 470078  Y 275590
X 473228  Y 275590
X 476377  Y 275590
X 457480  Y 275590
X 466929  Y 272440
X 470078  Y 272440
X 473228  Y 272440
X 476377  Y 272440
X 457480  Y 272440
X 463779  Y 272440
X 454330  Y 272440
X 473228  Y 269291
X 476377  Y 269291
X 457480  Y 269291
X 470078  Y 269291
X 463779  Y 269291
X 466929  Y 269291
X 454330  Y 269291
X 457480  Y 266141
X 463779  Y 266141
X 476377  Y 266141
X 473228  Y 266141
X 466929  Y 266141
X 470078  Y 266141
X 454330  Y 266141
X 457480  Y 262992
X 466929  Y 262992
X 463779  Y 262992
X 470078  Y 262992
X 476377  Y 262992
X 473228  Y 262992
X 454330  Y 262992
X 457480  Y 256692
X 466929  Y 256692
X 470078  Y 256692
X 473228  Y 256692
X 476377  Y 256692
X 463779  Y 256692
X 454330  Y 256692
X 473228  Y 253543
X 457480  Y 253543
X 476377  Y 253543
X 454330  Y 253543
X 463779  Y 253543
X 470078  Y 253543
X 466929  Y 253543
X 457480  Y 250393
X 476377  Y 250393
