

Drill Sizes Report
==================
Tool   Size   Pltd   Feed   Speed   Qty
====   ====   ====   ====   =====   ===
   1     10    x       95    300    304
   2     13    x       95    300    674
   3     35    x      197    550    132
   4     40    x      139    550     84
   5     43    x      139    550      8
   6     51    x      107    550      2
   7     59    x      107    550      2
   8    128    -       35    794      2
   9    138    x       35    794      6





